run_type,source_stem,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,sample_count,elapsed_mid_s,yaw_sign_corrected_mean_deg,yaw_drift_corrected_mean_deg,error_sign_corrected_mean_deg,error_sign_corrected_sd_deg,error_drift_corrected_mean_deg,error_drift_corrected_sd_deg,yaw_sign_corrected_sd_deg,yaw_drift_corrected_sd_deg
ascending,segmented_ascending_20260717_121716,18,180.0,180.0,False,326,373.509572506135,161.46460680170145,179.5961159562741,-18.535393198298543,0.0984547286191626,-0.40388404372588155,0.00783678321195587,0.0984547286191626,0.00783678321195587
ascending,segmented_ascending_20260717_121716,19,190.0,190.0,False,327,390.33507470978594,170.946350491617,189.76319306501918,-19.053649508382982,0.09969548903640688,-0.23680693498080604,0.008215837179226611,0.09969548903640688,0.008215837179226611
ascending,segmented_ascending_20260717_121716,20,200.0,200.0,False,327,406.48233618165136,179.67883104080198,199.15338104993504,-20.321168959198033,0.09880143614223932,-0.8466189500649751,0.010228340444033162,0.09880143614223932,0.010228340444033162
ascending,segmented_ascending_20260717_121716,21,210.0,210.0,False,327,423.2188345700306,189.5966845180713,209.75294265816603,-20.403315481928697,0.09971637058097124,-0.2470573418339563,0.008043945515153871,0.09971637058097124,0.008043945515153871
ascending,segmented_ascending_20260717_121716,22,220.0,220.0,False,327,442.8485064804281,198.83603092657296,219.7918414365182,-21.163969073427047,0.09967492122572309,-0.20815856348177614,0.0087028821089529,0.09967492122572309,0.0087028821089529
ascending,segmented_ascending_20260717_121716,23,230.0,230.0,False,327,460.9315713681957,207.63750782149026,229.32987457400407,-22.36249217850974,0.09946553607246549,-0.670125425995939,0.007617812328001616,0.09946553607246549,0.007617812328001616
ascending,segmented_ascending_20260717_121716,24,240.0,240.0,False,327,478.6725650969419,217.07427988240272,239.4892696947451,-22.92572011759727,0.09054882691363196,-0.5107303052549019,0.00696443454488695,0.09054882691363196,0.00696443454488695
ascending,segmented_ascending_20260717_121716,25,250.0,250.0,False,326,496.3870073368098,226.43086868854513,249.56740007010572,-23.56913131145486,0.09377650451751887,-0.43259992989429036,0.005147525915787624,0.09377650451751887,0.005147525915787624
ascending,segmented_ascending_20260717_121716,26,260.0,260.0,False,326,512.5678115226993,235.65341489049328,259.4490199637574,-24.346585109506712,0.09704058551319888,-0.5509800362425824,0.006640843316966391,0.09704058551319888,0.006640843316966391
ascending,segmented_ascending_20260717_121716,27,270.0,270.0,False,327,536.2214413602446,245.25059768304922,270.00965827806147,-24.749402316950775,0.09991840013213962,0.009658278061474219,0.006966639232176958,0.09991840013213962,0.006966639232176958
ascending,segmented_ascending_20260717_121716,28,280.0,280.0,False,328,554.1087169262195,254.61838416649147,280.10602614759244,-25.381615833508544,0.09837842054700249,0.10602614759244644,0.004688801157545823,0.09837842054700249,0.004688801157545823
ascending,segmented_ascending_20260717_121716,29,290.0,290.0,False,327,571.4011689354741,263.6757724047642,289.8677675226694,-26.3242275952358,0.10094122803465153,-0.132232477330605,0.007966687154829087,0.10094122803465153,0.007966687154829087
ascending,segmented_ascending_20260717_121716,30,300.0,300.0,False,326,591.2665668788344,273.29829039525515,300.299439434639,-26.70170960474486,0.09992665387992464,0.29943943463899014,0.006949834680796588,0.09992665387992464,0.006949834680796588
ascending,segmented_ascending_20260717_121716,31,310.0,310.0,False,326,610.0117871868098,282.64147053812536,310.4061466190729,-27.358529461874664,0.1109239469181386,0.4061466190728939,0.016164314843306334,0.1109239469181386,0.016164314843306334
ascending,segmented_ascending_20260717_121716,32,320.0,320.0,False,326,629.0520789950921,291.73690640905807,320.2771283324144,-28.263093590941924,0.10906562238629824,0.27712833241443385,0.015520202519159492,0.10906562238629824,0.015520202519159492
ascending,segmented_ascending_20260717_121716,33,330.0,330.0,False,326,647.9910311849693,300.8987744572562,330.21041447537357,-29.101225542743776,0.1042312825637552,0.21041447537357497,0.011439264197563297,0.1042312825637552,0.011439264197563297
ascending,segmented_ascending_20260717_121716,34,340.0,340.0,False,327,666.7051199831805,310.4434036363661,340.51730265282555,-29.55659636363389,0.10175320058625217,0.5173026528255218,0.00822626290267339,0.10175320058625217,0.00822626290267339
ascending,segmented_ascending_20260717_121716,35,350.0,350.0,False,327,684.794177259633,319.6213295184134,350.43202885837127,-30.378670481586592,0.09848933283334017,0.43202885837128324,0.007230208353541962,0.09848933283334017,0.007230208353541962
