target_source,head_yaw_deg,target_angle_deg,target_error_deg,sigma_deg,source_a_gain_db,source_b_gain_db,target_gain_db,interferer_gain_db,target_to_interferer_gain_db,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,input_tir_db_mean,input_tir_db_sd,input_tir_db_median,output_tir_db_mean,output_tir_db_sd,output_tir_db_median,input_si_sdr_db_mean,input_si_sdr_db_sd,input_si_sdr_db_median,output_si_sdr_db_mean,output_si_sdr_db_sd,output_si_sdr_db_median,si_sdr_improvement_db_mean,si_sdr_improvement_db_sd,si_sdr_improvement_db_median
source_a,10.0,-30.0,40.0,10.0,0.0033546262790251184,1.353352832366127,0.0033546262790251184,1.353352832366127,-1.3499982060871019,100,-1.3499982060681661,9.935848119225632e-12,-1.3499982060711178,-0.4173638951297185,2.8378761609058616,-0.5647752783211907,-1.7673621011978846,2.837876160913083,-1.914773484390937,-0.4171628464415177,2.840282865230554,-0.5817447361602945,-1.7673862975736208,2.8410136168932465,-1.9256049127840313,-1.350223451132103,0.016283939240343097,-1.3493779550862992
source_a,20.0,-30.0,50.0,10.0,3.726653172078671e-05,6.065306597126334,3.726653172078671e-05,6.065306597126334,-6.065269330594613,100,-6.065269330543623,2.6471915943298108e-11,-6.065269330552635,-0.6024261402910958,2.87577632324595,-0.7917068405540917,-6.66769547083472,2.8757763232650544,-6.856976171099536,-0.5990293185616284,2.877925819432165,-0.7705820980567666,-6.663122678774103,2.8837083121343916,-6.8048291484077215,-6.064093360212475,0.10004758177973809,-6.056257908876364
source_a,30.0,-30.0,60.0,10.0,1.5229979744712628e-07,10.0,1.5229979744712628e-07,10.0,-9.999999847700202,100,-9.999999847639165,3.1605011542097005e-11,-9.9999998476503,-0.6503737416429592,2.899896332335046,-0.8541064523552808,-10.650373589282125,2.8998963323578075,-10.854106299996454,-0.6489054512119925,2.9060876825004507,-0.8093884960194964,-10.652801244623909,2.932927518878693,-10.698861836071815,-10.003895793411916,0.22201129163144653,-9.983086524297578
source_a,40.0,-30.0,70.0,10.0,2.289734845645553e-10,6.065306597126334,2.289734845645553e-10,6.065306597126334,-6.0653065968973605,100,-6.065306596845765,2.6554218689593723e-11,-6.065306596855378,-0.7227228127649539,2.9176953103367813,-0.944787439589927,-6.788029409610719,2.917695310355869,-7.010094036437064,-0.7208319752425613,2.921147731124344,-0.9281145093468897,-6.786643172542665,2.9285436167751446,-6.941930083121559,-6.065811197300103,0.10599457040144482,-6.0590721436572075
source_a,50.0,-30.0,80.0,10.0,1.2664165549094176e-13,1.353352832366127,1.2664165549094176e-13,1.353352832366127,-1.3533528323660005,100,-1.353352832347371,9.488465330216075e-12,-1.3533528323508677,-0.7484317975119781,2.9204969629949544,-0.9259652993616033,-2.101784629859349,2.920496963001746,-2.279318131714392,-0.7457661654255647,2.921274827382611,-0.9131266814926648,-2.098950241804499,2.921745961779907,-2.258296179071077,-1.3531840763789342,0.01770256562413881,-1.3527114402428517
source_a,60.0,-30.0,90.0,10.0,2.576757109154981e-17,0.11108996538242306,2.576757109154981e-17,0.11108996538242306,-0.11108996538242304,100,-0.11108996538064167,8.979873328235452e-13,-0.11108996538097032,-0.7679284025576686,2.903661718680221,-1.016329917359735,-0.8790183679383102,2.903661718680859,-1.1274198827408886,-0.7640253667445973,2.899337301529589,-0.9230322820981431,-0.8750851833570585,2.8993017773137013,-1.032669618836313,-0.1110598166124612,0.0013606082944831396,-0.11094564662556539
source_a,70.0,-30.0,100.0,10.0,1.9287498479639177e-21,0.0033546262790251184,1.9287498479639177e-21,0.0033546262790251184,-0.0033546262790251184,100,-0.0033546262789688587,2.7904180679587872e-14,-0.003354626278978451,-0.7736234675813669,2.8871413595602227,-0.9920253715039837,-0.7769780938603358,2.887141359560242,-0.9953799977829669,-0.7703557601204942,2.8817544480999984,-0.913251988563468,-0.7737097259744516,2.8817529382093046,-0.9165765072079217,-0.0033539658539574594,4.0905551206682906e-05,-0.003349544009064065
source_a,80.0,-30.0,110.0,10.0,5.311092249679095e-26,3.726653172078671e-05,5.311092249679095e-26,3.726653172078671e-05,-3.726653172078671e-05,100,-3.726653171966061e-05,5.57025914154502e-16,-3.7266531719648555e-05,-0.758558235431388,2.862330042623259,-0.9456568671525908,-0.7585955019631077,2.862330042623259,-0.94569413368431,-0.7578926817672559,2.857355197849309,-0.9670195313586194,-0.7579299525106764,2.857355182228068,-0.9670570541162944,-3.727074342048928e-05,4.552835686490872e-07,-3.722181967485971e-05
source_a,90.0,-30.0,120.0,10.0,5.380186160021138e-31,1.5229979744712628e-07,5.380186160021138e-31,1.5229979744712628e-07,-1.5229979744712628e-07,100,-1.522997977992024e-07,4.52464188375425e-16,-1.5229979788422554e-07,-0.7871013227612375,2.8498217636181473,-1.013072039452879,-0.7871014750610352,2.8498217636181473,-1.0130721917526768,-0.7887406311932469,2.8457570929697,-1.0247239414348286,-0.788740783289986,2.8457570928181086,-1.0247240927073813,-1.5209673915148048e-07,2.5035851258017193e-09,-1.5197849967396593e-07
source_a,-90.0,-30.0,60.0,20.0,0.11108996538242306,1.5229979744712628e-07,0.11108996538242306,1.5229979744712628e-07,0.11108981308262561,100,0.11108981308042613,1.1598936105467775e-12,0.11108981308085857,0.005599851872242011,2.8067757495515924,-0.14977853341541214,0.11668966495266811,2.8067757495524277,-0.038688720334498494,0.0064498226755969005,2.808804820154609,-0.14967712042474762,0.117544740205492,2.808757836351541,-0.03858834448480786,0.11109491752989509,0.0012149288074843776,0.11105445869141828
