trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,ideal_stoi_vs_ideal_output_mean,ideal_stoi_vs_ideal_output_sd,ideal_stoi_vs_ideal_output_median,stoi_vs_ideal_output_mean,stoi_vs_ideal_output_sd,stoi_vs_ideal_output_median,stoi_loss_vs_ideal_output_mean,stoi_loss_vs_ideal_output_sd,stoi_loss_vs_ideal_output_median
30_deg_s,30.0,30.0,0.0,40.0,1.2,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,0.6463882208400377,0.12182164097713664,0.6265489611628086,0.35361177915996234,0.12182164097713664,0.3734510388371915
30_deg_s,30.0,30.0,0.0,80.0,2.4,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.3091890638216388,0.10769490007547147,0.2859042379666672,0.6908109361783612,0.1076949000754715,0.7140957620333328
30_deg_s,30.0,30.0,0.0,80.0,2.4,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.39653114534435235,0.10477709859711126,0.372231271725948,0.6034688546556476,0.10477709859711129,0.6277687282740521
30_deg_s,30.0,30.0,0.0,80.0,2.4,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.4701629487811352,0.12021098539371623,0.4405902370690087,0.5298370512188648,0.12021098539371625,0.5594097629309913
30_deg_s,30.0,30.0,0.0,80.0,2.4,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.5371540403126308,0.14681184941116918,0.5125742186987341,0.46284595968736914,0.14681184941116918,0.48742578130126596
30_deg_s,30.0,30.0,0.0,80.0,2.4,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,0.5602942126194654,0.15620170638707703,0.5388924902102067,0.4397057873805345,0.15620170638707703,0.4611075097897933
30_deg_s,30.0,30.0,0.0,120.0,3.6,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.23895040566050038,0.11667410432128965,0.21671544025634976,0.7610495943394996,0.11667410432128966,0.7832845597436502
30_deg_s,30.0,30.0,0.0,120.0,3.6,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.33028717019749404,0.117607900807281,0.3060483234906105,0.6697128298025059,0.11760790080728101,0.6939516765093895
30_deg_s,30.0,30.0,0.0,120.0,3.6,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.40778732021077585,0.13628117366791323,0.37695266675426403,0.5922126797892242,0.13628117366791326,0.623047333245736
30_deg_s,30.0,30.0,0.0,120.0,3.6,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.4783336476676784,0.16495979347785292,0.4448754851597326,0.5216663523323216,0.16495979347785292,0.5551245148402675
30_deg_s,30.0,30.0,0.0,120.0,3.6,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,0.5026763365225644,0.17502055039018408,0.4667986317124509,0.4973236634774357,0.17502055039018408,0.5332013682875492
30_deg_s,30.0,30.0,0.0,160.0,4.8,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.22092130234068585,0.110412536471185,0.20126047123983148,0.7790786976593141,0.11041253647118503,0.7987395287601685
30_deg_s,30.0,30.0,0.0,160.0,4.8,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.3100634485514195,0.11138010203534077,0.2822761934731197,0.6899365514485806,0.11138010203534078,0.7177238065268803
30_deg_s,30.0,30.0,0.0,160.0,4.8,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.3870125825211859,0.13132807994794826,0.3648156664453139,0.612987417478814,0.13132807994794826,0.6351843335546861
30_deg_s,30.0,30.0,0.0,160.0,4.8,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.4584481506515981,0.16178609409523492,0.4185438394685198,0.541551849348402,0.16178609409523492,0.5814561605314802
30_deg_s,30.0,30.0,0.0,160.0,4.8,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,0.4838704982347965,0.17273280916081016,0.4406940852707411,0.5161295017652034,0.17273280916081016,0.559305914729259
30_deg_s,30.0,30.0,0.0,200.0,6.0,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.22303420615933153,0.11668011608391625,0.20191321639257948,0.7769657938406684,0.11668011608391628,0.7980867836074206
30_deg_s,30.0,30.0,0.0,200.0,6.0,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.3084258366614436,0.11389438750370781,0.3008571943051096,0.6915741633385565,0.11389438750370784,0.6991428056948904
30_deg_s,30.0,30.0,0.0,200.0,6.0,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.38223968710531164,0.12842851514791492,0.367734217011656,0.6177603128946884,0.12842851514791495,0.632265782988344
30_deg_s,30.0,30.0,0.0,200.0,6.0,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.45313267051177936,0.1560162244228838,0.41646913836571214,0.5468673294882207,0.1560162244228838,0.5835308616342878
30_deg_s,30.0,30.0,0.0,200.0,6.0,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,0.4793384549593294,0.16735027974515243,0.4380395084546807,0.5206615450406706,0.16735027974515243,0.5619604915453194
60_deg_s,60.0,30.0,0.0,0.0,0.0,0.0,0,1.0,100,1.0,0.0,1.0,0.9129972307310931,0.03343596311599779,0.9142256758679856,0.0870027692689069,0.03343596311599779,0.0857743241320143
60_deg_s,60.0,30.0,0.0,0.0,0.0,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.958571318843899,0.016608589943598144,0.9587374831452842,0.04142868115610099,0.016608589943598144,0.041262516854715825
60_deg_s,60.0,30.0,0.0,0.0,0.0,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.9827626775169642,0.007145596629582783,0.9831642148551535,0.01723732248303579,0.007145596629582783,0.016835785144846516
60_deg_s,60.0,30.0,0.0,0.0,0.0,20.0,20,0.1,100,1.0,0.0,1.0,0.9977290743189092,0.0009762277300314661,0.997800282050611,0.0022709256810907385,0.0009762277300314661,0.0021997179493890018
60_deg_s,60.0,30.0,0.0,0.0,0.0,inf,inf,0.0,100,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
60_deg_s,60.0,30.0,0.0,20.0,1.2,0.0,0,1.0,100,1.0,0.0,1.0,0.5775468673407332,0.05771445591065279,0.5768994162638021,0.42245313265926676,0.05771445591065279,0.42310058373619785
