trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,tir_loss_vs_ideal_db_mean,tir_loss_vs_ideal_db_sd,tir_loss_vs_ideal_db_median,tir_retention_fraction_mean,tir_retention_fraction_sd,tir_retention_fraction_median,si_sdr_physical_improvement_db_mean,si_sdr_physical_improvement_db_sd,si_sdr_physical_improvement_db_median,si_sdr_loss_vs_ideal_db_mean,si_sdr_loss_vs_ideal_db_sd,si_sdr_loss_vs_ideal_db_median,component_si_sdr_loss_vs_ideal_db_mean,component_si_sdr_loss_vs_ideal_db_sd,component_si_sdr_loss_vs_ideal_db_median,gain_error_rms_db_mean,gain_error_rms_db_sd,gain_error_rms_db_median,gain_error_peak_abs_db_mean,gain_error_peak_abs_db_sd,gain_error_peak_abs_db_median,input_tir_db_mean,input_tir_db_sd,input_tir_db_median,output_tir_db_mean,output_tir_db_sd,output_tir_db_median,output_si_sdr_physical_target_db_mean,output_si_sdr_physical_target_db_sd,output_si_sdr_physical_target_db_median,output_si_sdr_component_target_db_mean,output_si_sdr_component_target_db_sd,output_si_sdr_component_target_db_median
30_deg_s,30.0,10.0,0.0,120.0,3.6,0.0,0,1.0,100,-0.029009490611575622,2.2772453757951534,0.2704592912503261,-6.633405463612667,3.625208691888861,-7.147613659844428,0.2548020479198435,1.7484545695140004,0.03973919163085715,-32.208328982400545,12.353737368155985,-30.79507633025753,-34.96572416566682,11.170527641249874,-35.89327182260128,-6.756861827386275,3.4193518134517986,-7.077688383192971,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,-0.415592300034056,11.320083137067323,-0.06700380682348342,-32.446651281662504,9.132631774022856,-32.27738399011727,-0.40039551667186474,11.24667970436494,0.2264500557454677
30_deg_s,30.0,10.0,0.0,120.0,3.6,5.0,5,0.5623413251903491,100,1.7692598641310562,2.301964836190486,2.253390524357438,-4.835136108870035,3.4610850064136964,-5.050645247168563,0.7059496914333142,2.242574996869993,0.31562774043813147,-31.6541563345872,12.67476097398965,-30.2063060282505,-34.41155151785347,11.49770978039042,-34.97412547937304,-4.95465707492519,3.2655519191810183,-5.074058789950889,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,1.3826770547085758,11.314966952147778,1.8905049612184806,-31.89247863384916,9.25922900179035,-31.705420239644727,1.4018092357892205,11.236852998864649,2.0186056038995344
30_deg_s,30.0,10.0,0.0,120.0,3.6,10.0,10,0.31622776601683794,100,3.332774128127332,2.3787366215207335,3.9714179744542752,-3.271621844873759,3.3746615694054634,-3.4434943240604663,1.113713992942765,2.7790080516229914,0.5466705280875851,-31.472827904868005,13.217816315405798,-30.53952354097941,-34.230223088134274,12.10929252531496,-35.38277162779633,-3.3885150885945508,3.192294179536899,-3.467781392111102,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,2.9461913187048516,11.280408184708293,3.6296331804278212,-31.71115020412996,9.73684391974462,-30.90705739762133,2.9679512221198596,11.199591238283098,3.6147561360780562
30_deg_s,30.0,10.0,0.0,120.0,3.6,20.0,20,0.1,100,5.352170720694417,2.562787293370337,6.079915033040379,-1.2522252523066737,3.357570051732038,-1.132064714138457,1.661897847572065,3.593831056896444,0.8526049993238405,-31.1984344132597,13.907476804762206,-30.455787983956135,-33.95582959652597,12.855410360533616,-34.62988261633161,-1.366615030960492,3.1976719594711964,-1.196529876028024,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,4.965587911271937,11.196030924406521,5.582970981442834,-31.436756712521657,10.24689662471144,-30.085828370347024,4.9898512797539185,11.11351435351822,5.563824638945821
30_deg_s,30.0,10.0,0.0,120.0,3.6,inf,inf,0.0,100,6.634872371944012,2.7376188290501213,7.303721574285921,0.03047639894292111,3.415313661387767,0.35504390233765637,2.023082227367139,4.177088532115323,1.0472244148128813,-30.84264339873125,13.84232982751479,-30.529237327955826,-33.600038581997524,12.772146008860833,-34.05530902790255,-0.08274859099563357,3.272338073949785,0.27646897809756243,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,6.248289562521531,11.121345545928262,6.8421514273213075,-31.08096569799321,9.99688978819124,-29.897990340744116,6.273717719718777,11.03881301615265,6.82642464945237
30_deg_s,30.0,10.0,0.0,160.0,4.8,0.0,0,1.0,100,-0.10343547432831166,2.788411538158878,0.24086177832800404,-6.7078314473294025,4.382674092192152,-7.11318922852521,0.6226823714865478,3.272987676727825,0.028241987534155646,-33.52511154848564,14.289082375499843,-33.39485297687242,-36.282506731751916,13.084409673153226,-38.17503460187878,-6.732633564716032,4.436253060507514,-7.382411453747982,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,-0.4900182837507921,10.332938561842528,0.1789061659332239,-33.7634338477476,9.692498653266862,-33.788567911126314,-0.37616725400162154,9.947957099089379,0.13122513459701612
30_deg_s,30.0,10.0,0.0,160.0,4.8,5.0,5,0.5623413251903491,100,1.699957859025212,2.8441208894234973,2.3092551710084432,-4.904438113975879,4.289983270929524,-5.080620768791509,1.0793709396989257,3.8232743420144777,0.29942754732841614,-33.111767873948196,14.415853235476208,-33.4490770308972,-35.869163057214465,13.148306739883216,-38.362372478925145,-4.92691018960937,4.344753904402635,-5.086091283834493,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,1.3133750496027317,10.337975607505957,1.9778560575061042,-33.350090173210155,9.602377340405274,-33.540652698650774,1.4295561211050403,9.942757241672432,2.0721963181198713
30_deg_s,30.0,10.0,0.0,160.0,4.8,10.0,10,0.31622776601683794,100,3.270645193879593,2.951635603202512,4.005785692702604,-3.3337507791214986,4.266634131882532,-3.2805776390848824,1.4921135582579292,4.378848410540991,0.5363738312651951,-32.92647248611557,14.833681616445835,-33.007237844307085,-35.68386766938185,13.570207685033225,-38.048190613261774,-3.354734762355537,4.323972418747357,-3.3460760067683113,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,2.8840623844571125,10.314026925164312,3.471081354838752,-33.16479478537753,9.895564978065725,-33.29869188820826,3.0017315483588733,9.911114737024315,3.5714898320320208
30_deg_s,30.0,10.0,0.0,160.0,4.8,20.0,20,0.1,100,5.303564475132995,3.1757080230512122,6.269155593987483,-1.3008314978680962,4.325155107942445,-1.0795870166989805,2.047027420357259,5.198409900357454,0.8662084872111304,-32.03767308724305,14.847693223064008,-32.210276438089,-34.79506827050932,13.450227150796135,-37.04156610488981,-1.32047843249577,4.387896259916342,-1.07323715924054,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,4.916981665710515,10.24644160719046,5.421204645481511,-32.27599538650501,9.420864711589049,-31.57098284121954,5.0359878782186405,9.835347760982128,5.503186838738658
30_deg_s,30.0,10.0,0.0,160.0,4.8,inf,inf,0.0,100,6.5976703586363765,3.3737018701322863,7.712657244926625,-0.006725614364714621,4.423032662696903,0.3904167991942922,2.4126933611373302,5.778191512008698,1.050608231289188,-31.463274491928907,14.612766920931975,-32.22832106110677,-34.220669675195175,13.111706684158001,-36.74180303505699,-0.02579798632816393,4.490390365476986,0.3694454688347464,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,6.211087549213896,10.1850259162463,6.85910116662148,-31.701596791190866,8.740186730872487,-31.639039657208862,6.330668324386246,9.77000144252512,6.881793466462092
