trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,tir_retention_threshold,si_sdr_loss_metric,max_si_sdr_loss_db,minimum_separator_sdr_db,minimum_separator_sdr_label,acceptable,tir_retention_fraction_mean,tir_loss_vs_ideal_db_mean,si_sdr_loss_vs_ideal_db_mean,component_si_sdr_loss_vs_ideal_db_mean
30_deg_s,30.0,20.0,0.0,200.0,6.0,0.9,component,1.0,inf,inf,True,1.1218533394704724,0.06390800421203006,-35.64072453988172,-0.09577909820342809
30_deg_s,30.0,30.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
30_deg_s,30.0,30.0,0.0,20.0,0.6,0.9,component,1.0,inf,inf,True,1.0019808129624754,0.01966541573188467,-29.926018586199095,-0.24402346118257062
30_deg_s,30.0,30.0,0.0,40.0,1.2,0.9,component,1.0,inf,inf,True,1.003977441447336,0.040611430086495086,-28.80363046657571,-0.09070772744495546
30_deg_s,30.0,30.0,0.0,80.0,2.4,0.9,component,1.0,inf,inf,True,1.013829838578403,0.05273673983030907,-33.29761685532101,-0.11992946150763081
30_deg_s,30.0,30.0,0.0,120.0,3.6,0.9,component,1.0,inf,inf,True,1.0269517240331618,0.11905302137779351,-34.28055161916098,0.047667555225203606
30_deg_s,30.0,30.0,0.0,160.0,4.8,0.9,component,1.0,inf,inf,True,1.0322631846322046,0.16966863324067516,-36.507698597286364,0.18920275750977109
30_deg_s,30.0,30.0,0.0,200.0,6.0,0.9,component,1.0,inf,inf,True,1.0216253877405252,0.10984740191357975,-35.25375547841775,-0.07575467798305727
30_deg_s,30.0,45.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
30_deg_s,30.0,45.0,0.0,20.0,0.6,0.9,component,1.0,inf,inf,True,0.990360175190019,0.020311087096266986,-29.026419381816982,-0.229905457253412
30_deg_s,30.0,45.0,0.0,40.0,1.2,0.9,component,1.0,inf,inf,True,0.9792264074549143,0.03413271032760705,-28.40626448671876,-0.08105281551649479
30_deg_s,30.0,45.0,0.0,80.0,2.4,0.9,component,1.0,inf,inf,True,0.9708118370946689,0.038526933140457936,-32.742393968044134,-0.16541828120763474
30_deg_s,30.0,45.0,0.0,120.0,3.6,0.9,component,1.0,inf,inf,True,0.9679308728134719,0.09719580887940749,-33.33267394603764,0.005980696662015178
30_deg_s,30.0,45.0,0.0,160.0,4.8,0.9,component,1.0,inf,inf,True,0.9466619684506127,0.14173694805933265,-35.4493009566157,0.14395436309334966
30_deg_s,30.0,45.0,0.0,200.0,6.0,0.9,component,1.0,inf,inf,True,0.9093385924785291,0.078063265056152,-34.038427350653315,-0.14366925396058092
30_deg_s,30.0,60.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
30_deg_s,30.0,60.0,0.0,20.0,0.6,0.9,component,1.0,inf,inf,True,0.9766066684418303,0.02077447340790678,-28.61054075852667,-0.23269006679769458
30_deg_s,30.0,60.0,0.0,40.0,1.2,0.9,component,1.0,inf,inf,True,0.9491485943751033,0.030643197924961653,-27.714636587699104,-0.07833933532506793
30_deg_s,30.0,60.0,0.0,80.0,2.4,0.9,component,1.0,inf,inf,True,0.918277734918119,0.02924782987505712,-32.00694802115751,-0.19083914230323207
30_deg_s,30.0,60.0,0.0,120.0,3.6,0.9,component,1.0,not_met,not_met,False,0.8943813877012851,0.07745766918048132,-32.58091267710852,-0.023087220448828126
30_deg_s,30.0,60.0,0.0,160.0,4.8,0.9,component,1.0,not_met,not_met,False,0.8379353832389421,0.11153985574156253,-34.599407756799394,0.10608337021040411
30_deg_s,30.0,60.0,0.0,200.0,6.0,0.9,component,1.0,not_met,not_met,False,0.765320911572135,0.04417266962673156,-33.430851200747924,-0.19595250291291544
60_deg_s,60.0,10.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
60_deg_s,60.0,10.0,0.0,20.0,1.2,0.9,component,1.0,inf,inf,True,1.0146074719780884,0.013488333842387403,-30.81047560791249,0.013940096360500693
60_deg_s,60.0,10.0,0.0,40.0,2.4,0.9,component,1.0,inf,inf,True,1.0249193719939929,0.007383005580769719,-30.322490366771472,0.005785512890975353
60_deg_s,60.0,10.0,0.0,80.0,4.8,0.9,component,1.0,inf,inf,True,1.0396587409690112,-0.04010106395874285,-35.92672524958261,-0.04326230124493251
60_deg_s,60.0,10.0,0.0,120.0,7.2,0.9,component,1.0,inf,inf,True,1.051322034555117,-0.08422751835123307,-36.853706122497194,-0.08286862254584737
60_deg_s,60.0,10.0,0.0,160.0,9.6,0.9,component,1.0,inf,inf,True,1.058103510207053,-0.12880720766751108,-38.23024818476456,-0.13175108628543328
60_deg_s,60.0,10.0,0.0,200.0,12.0,0.9,component,1.0,inf,inf,True,1.08040098032234,-0.050450029728307054,-37.33012305792645,-0.05298903269732951
60_deg_s,60.0,20.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
60_deg_s,60.0,20.0,0.0,20.0,1.2,0.9,component,1.0,inf,inf,True,1.002092082958676,-0.00155526067129788,-32.046568260568364,-0.0027843136969575694
60_deg_s,60.0,20.0,0.0,40.0,2.4,0.9,component,1.0,inf,inf,True,1.002326923804112,-0.018831858914524283,-31.570390177594536,-0.022259356480978536
60_deg_s,60.0,20.0,0.0,80.0,4.8,0.9,component,1.0,inf,inf,True,0.9999788738514592,-0.07760533161205198,-36.32645175138774,-0.08425693587218845
60_deg_s,60.0,20.0,0.0,120.0,7.2,0.9,component,1.0,inf,inf,True,0.9989393070640689,-0.11439859056923787,-38.20644887282157,-0.11676143542705154
60_deg_s,60.0,20.0,0.0,160.0,9.6,0.9,component,1.0,inf,inf,True,0.9963986937385322,-0.15205400465057256,-40.16576740964615,-0.1599843778998796
60_deg_s,60.0,20.0,0.0,200.0,12.0,0.9,component,1.0,inf,inf,True,1.0092661793098903,-0.06055957066477268,-38.14827248913513,-0.06816076833829947
60_deg_s,60.0,30.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
60_deg_s,60.0,30.0,0.0,20.0,1.2,0.9,component,1.0,inf,inf,True,0.9987145864595222,-0.0076676451467964845,-31.425361201299495,-0.010296614711007911
60_deg_s,60.0,30.0,0.0,40.0,2.4,0.9,component,1.0,inf,inf,True,0.9954659568205797,-0.03135322213875301,-30.78917167749857,-0.037312551496110465
60_deg_s,60.0,30.0,0.0,80.0,4.8,0.9,component,1.0,inf,inf,True,0.9871971212128838,-0.10041521019977452,-35.83340047267788,-0.11216779043324017
60_deg_s,60.0,30.0,0.0,120.0,7.2,0.9,component,1.0,inf,inf,True,0.9811517115609277,-0.14522482623040245,-37.31946876085605,-0.1521138877408633
60_deg_s,60.0,30.0,0.0,160.0,9.6,0.9,component,1.0,inf,inf,True,0.9742211848181979,-0.18515468258361656,-39.241152548008706,-0.20011678105260322
60_deg_s,60.0,30.0,0.0,200.0,12.0,0.9,component,1.0,inf,inf,True,0.9869472769366104,-0.08839556731030124,-37.45320388355033,-0.10241616494087365
60_deg_s,60.0,45.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
60_deg_s,60.0,45.0,0.0,20.0,1.2,0.9,component,1.0,inf,inf,True,0.9969858249898279,-0.0015942955856558605,-29.8961187462542,-0.005142071957323576
60_deg_s,60.0,45.0,0.0,40.0,2.4,0.9,component,1.0,inf,inf,True,0.9908131798695156,-0.020238533790411028,-29.004541841230484,-0.02766323884772714
60_deg_s,60.0,45.0,0.0,80.0,4.8,0.9,component,1.0,inf,inf,True,0.9764682593612739,-0.08052102202449149,-34.202434748207,-0.09668764040039017
60_deg_s,60.0,45.0,0.0,120.0,7.2,0.9,component,1.0,inf,inf,True,0.9623666544903609,-0.13362531189530036,-35.60612294880655,-0.1434857367083264
60_deg_s,60.0,45.0,0.0,160.0,9.6,0.9,component,1.0,inf,inf,True,0.9471761858824451,-0.1806660110123519,-37.31072902326374,-0.2016375934820856
60_deg_s,60.0,45.0,0.0,200.0,12.0,0.9,component,1.0,inf,inf,True,0.9614900250402415,-0.09098333788435009,-35.85489315191961,-0.11046364458472291
60_deg_s,60.0,60.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
60_deg_s,60.0,60.0,0.0,20.0,1.2,0.9,component,1.0,inf,inf,True,0.9959630618968613,0.003602216205645008,-28.4810754515104,-0.0003311665999117258
60_deg_s,60.0,60.0,0.0,40.0,2.4,0.9,component,1.0,inf,inf,True,0.9869191474773398,-0.009875603039221454,-28.064903754621962,-0.017657197208854038
60_deg_s,60.0,60.0,0.0,80.0,4.8,0.9,component,1.0,inf,inf,True,0.965532107513517,-0.061034791683536774,-32.891607890321474,-0.07927445020780305
60_deg_s,60.0,60.0,0.0,120.0,7.2,0.9,component,1.0,inf,inf,True,0.9409695712474365,-0.1172894198242429,-34.47560347042061,-0.1279303297513245
60_deg_s,60.0,60.0,0.0,160.0,9.6,0.9,component,1.0,inf,inf,True,0.9145479913640991,-0.16824784254658584,-35.69141043242748,-0.19182434276790786
60_deg_s,60.0,60.0,0.0,200.0,12.0,0.9,component,1.0,inf,inf,True,0.9315524464133514,-0.08418967801223867,-34.59189848769929,-0.10598918439732605
