trial_id,condition_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,repetition,expected_output_channel,expected_reference_output_channel,expected_input_channels,status,attempt_number,notes
brir_theta_100_spk_A_rep02,brir_theta_100_spk_A_rep02,10,100,100,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_100_spk_B_rep02,brir_theta_100_spk_B_rep02,10,100,100,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_110_spk_B_rep01,brir_theta_110_spk_B_rep01,11,110,110,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_110_spk_A_rep01,brir_theta_110_spk_A_rep01,11,110,110,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_110_spk_B_rep02,brir_theta_110_spk_B_rep02,11,110,110,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_110_spk_A_rep02,brir_theta_110_spk_A_rep02,11,110,110,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_120_spk_A_rep01,brir_theta_120_spk_A_rep01,12,120,120,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_120_spk_B_rep01,brir_theta_120_spk_B_rep01,12,120,120,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_120_spk_A_rep02,brir_theta_120_spk_A_rep02,12,120,120,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_120_spk_B_rep02,brir_theta_120_spk_B_rep02,12,120,120,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_130_spk_B_rep01,brir_theta_130_spk_B_rep01,13,130,130,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_130_spk_A_rep01,brir_theta_130_spk_A_rep01,13,130,130,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_130_spk_B_rep02,brir_theta_130_spk_B_rep02,13,130,130,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_130_spk_A_rep02,brir_theta_130_spk_A_rep02,13,130,130,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_140_spk_A_rep01,brir_theta_140_spk_A_rep01,14,140,140,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_140_spk_B_rep01,brir_theta_140_spk_B_rep01,14,140,140,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_140_spk_A_rep02,brir_theta_140_spk_A_rep02,14,140,140,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_140_spk_B_rep02,brir_theta_140_spk_B_rep02,14,140,140,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_150_spk_B_rep01,brir_theta_150_spk_B_rep01,15,150,150,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_150_spk_A_rep01,brir_theta_150_spk_A_rep01,15,150,150,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_150_spk_B_rep02,brir_theta_150_spk_B_rep02,15,150,150,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_150_spk_A_rep02,brir_theta_150_spk_A_rep02,15,150,150,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_160_spk_A_rep01,brir_theta_160_spk_A_rep01,16,160,160,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_160_spk_B_rep01,brir_theta_160_spk_B_rep01,16,160,160,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_160_spk_A_rep02,brir_theta_160_spk_A_rep02,16,160,160,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_160_spk_B_rep02,brir_theta_160_spk_B_rep02,16,160,160,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_170_spk_B_rep01,brir_theta_170_spk_B_rep01,17,170,170,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_170_spk_A_rep01,brir_theta_170_spk_A_rep01,17,170,170,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_170_spk_B_rep02,brir_theta_170_spk_B_rep02,17,170,170,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_170_spk_A_rep02,brir_theta_170_spk_A_rep02,17,170,170,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_180_spk_A_rep01,brir_theta_180_spk_A_rep01,18,180,180,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_180_spk_B_rep01,brir_theta_180_spk_B_rep01,18,180,180,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_180_spk_A_rep02,brir_theta_180_spk_A_rep02,18,180,180,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_180_spk_B_rep02,brir_theta_180_spk_B_rep02,18,180,180,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_190_spk_B_rep01,brir_theta_190_spk_B_rep01,19,190,190,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_190_spk_A_rep01,brir_theta_190_spk_A_rep01,19,190,190,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_190_spk_B_rep02,brir_theta_190_spk_B_rep02,19,190,190,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_190_spk_A_rep02,brir_theta_190_spk_A_rep02,19,190,190,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
