trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,angular_velocity_delay_deg,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,tir_loss_vs_zero_delay_db_mean,tir_loss_vs_zero_delay_db_sd,tir_loss_vs_zero_delay_db_median,si_sdr_improvement_db_mean,si_sdr_improvement_db_sd,si_sdr_improvement_db_median,si_sdr_loss_vs_zero_delay_db_mean,si_sdr_loss_vs_zero_delay_db_sd,si_sdr_loss_vs_zero_delay_db_median,gain_error_rms_db_mean,gain_error_rms_db_sd,gain_error_rms_db_median,gain_error_peak_abs_db_mean,gain_error_peak_abs_db_sd,gain_error_peak_abs_db_median,transition_time_ms_mean,transition_time_ms_sd,transition_time_ms_median,transition_delay_vs_zero_ms_mean,transition_delay_vs_zero_ms_sd,transition_delay_vs_zero_ms_median
30_deg_s,30.0,10.0,80.0,2.4,10,7.001415365950266,1.36103167527372,6.74766743035792,-0.6424183474749474,0.43739771660050397,-0.5314807167534643,6.955427041925192,1.3649613607889723,6.719430667239003,-0.6469240962984368,0.44170754399228507,-0.5307746347777322,0.5031540095971867,0.0,0.5031540095971867,2.012283327730456,0.0,2.012283327730456,640.0000000000001,0.0,640.0000000000001,80.00000000000011,0.0,80.00000000000011
30_deg_s,30.0,10.0,120.0,3.6,10,6.6360742326578315,1.5223183457050602,6.559829988429697,-1.0077594807673815,0.6660581146291217,-0.8913429586038477,6.587895564298203,1.5253555401003085,6.5701378704611235,-1.0144555739254248,0.6724067790479341,-0.8918656678518939,0.7497653866650301,0.0,0.7497653866650301,2.97871285333446,0.0,2.97871285333446,680.0000000000001,0.0,680.0000000000001,120.00000000000011,0.0,120.00000000000011
30_deg_s,30.0,10.0,160.0,4.8,10,6.230739194241656,1.6850582512162753,6.301439140977271,-1.4130945191835573,0.8903316592803915,-1.3453433527985275,6.180911234031842,1.6869786537834692,6.28133658527994,-1.4214399041917867,0.8983060335654239,-1.346199753101252,0.9906929720146695,0.0,0.9906929720146695,3.8995758722290685,0.0,3.8995758722290685,720.0000000000002,0.0,720.0000000000002,160.00000000000023,0.0,160.00000000000023
30_deg_s,30.0,10.0,200.0,6.0,10,5.772655552199696,1.8409781084919246,5.90699810720146,-1.8711781612255174,1.1029111445093456,-1.897512577126188,5.722078486726664,1.8412510958232127,5.886324515403324,-1.8802726514969645,1.1119210347720774,-1.8987052222716505,1.2244728806309544,0.0,1.2244728806309544,4.762991336083969,0.0,4.762991336083969,759.9999999999998,0.0,759.9999999999998,199.99999999999977,0.0,199.99999999999977
30_deg_s,30.0,20.0,0.0,0.0,10,7.775050890334605,0.6404808150373561,7.634618693880974,0.0,0.0,0.0,7.738165111081953,0.6431102528452463,7.658193531613929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00000000000017,0.0,450.00000000000017,0.0,0.0,0.0
30_deg_s,30.0,20.0,20.0,0.6,10,7.568529163664308,0.690764232766498,7.410070625017408,-0.20652172667029828,0.057379120312946175,-0.21806751426107107,7.531824614999118,0.6906825937118699,7.401523341009001,-0.20634049608283522,0.05737261327471044,-0.21603302211709163,0.09957788199655557,0.0,0.09957788199655557,0.32393027908204264,0.0,0.32393027908204264,470.00000000000017,0.0,470.00000000000017,20.0,0.0,20.0
30_deg_s,30.0,20.0,40.0,1.2,10,7.347687602525888,0.7435879705119145,7.175900910584026,-0.42736328780871746,0.11815446138351844,-0.4472841618261518,7.311146463684503,0.740990215450492,7.1676578446585095,-0.42701864739744994,0.11821709352081326,-0.4432450375247403,0.19907086537914417,0.0,0.19907086537914417,0.6472847813689846,0.0,0.6472847813689846,490.0000000000002,0.0,490.0000000000002,40.00000000000006,0.0,40.00000000000006
30_deg_s,30.0,20.0,80.0,2.4,10,6.861414479382279,0.8574825095561347,6.666731382324333,-0.9136364109523268,0.25000378200669554,-0.9403873225155275,6.825149615111146,0.8504908216430136,6.659228237628289,-0.9130154959708074,0.2504436763358371,-0.9323850547757502,0.39746543019281155,0.0,0.39746543019281155,1.289982802654552,0.0,1.289982802654552,529.9999999999998,0.0,529.9999999999998,79.9999999999996,0.0,79.9999999999996
30_deg_s,30.0,20.0,120.0,3.6,10,6.3140870697627935,0.9829719748997793,6.102086109685018,-1.4609638205718125,0.39504093678333024,-1.4743754022720643,6.278049649420268,0.9725163749346024,6.09549537728786,-1.4601154616616852,0.3961834214485407,-1.4697439311138765,0.594522656034699,0.0,0.594522656034699,1.9236101929663851,0.0,1.9236101929663851,569.9999999999999,0.0,569.9999999999999,119.99999999999972,0.0,119.99999999999972
30_deg_s,30.0,20.0,160.0,4.8,10,5.7058410205371635,1.11968316979525,5.482083184151296,-2.0692098697974424,0.551350747503477,-2.0476614655194174,5.670026633154494,1.1067436726489481,5.476559621930132,-2.068138477927459,0.5535104964209733,-2.049918618766615,0.7896113554688008,0.0,0.7896113554688008,2.543884753956143,0.0,2.543884753956143,609.9999999999999,0.0,609.9999999999999,159.99999999999972,0.0,159.99999999999972
