pair_id,source_a_sample_id,source_b_sample_id,trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,angular_velocity_delay_deg,tir_improvement_db,tir_loss_vs_zero_delay_db,si_sdr_improvement_db,si_sdr_loss_vs_zero_delay_db,gain_error_rms_db,gain_error_peak_abs_db,transition_time_ms,transition_delay_vs_zero_ms,ideal_tir_improvement_db,input_tir_db,output_tir_db,input_si_sdr_db,output_si_sdr_db
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,30.0,120.0,7.2,6.453837478734165,-1.24430279054544,6.556823118888066,-1.2466314079534302,0.748018954987928,2.658880827617545,370.0000000000001,120.00000000000011,7.698140269279605,-5.4335392221787515,1.020298256555414,-5.607747186186597,0.9490759327014693
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,30.0,160.0,9.6,5.9665817381007376,-1.7315585311788677,6.068732992512422,-1.7347215343290734,0.987763429083611,3.475174039543263,409.99999999999994,159.99999999999994,7.698140269279605,-5.4335392221787515,0.5330425159219865,-5.607747186186597,0.460985806325826
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,30.0,200.0,12.0,5.4874973843466615,-2.210642884932944,5.588946463100449,-2.2145080637410475,1.219939327450908,4.23620412965135,449.99999999999994,199.99999999999994,7.698140269279605,-5.4335392221787515,0.05395816216790983,-5.607747186186597,-0.01880072308614822
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,0.0,0.0,5.089286340893436,0.0,5.162886182715174,0.0,0.0,0.0,290.00000000000006,0.0,5.089286340893436,-5.4335392221787515,-0.34425288128531534,-5.607747186186597,-0.44486100347142254
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,20.0,1.2,4.9773079332667365,-0.1119784076266992,5.050326556389846,-0.11255962632532734,0.08356864270200594,0.2838580131151156,310.00000000000006,20.0,5.089286340893436,-5.4335392221787515,-0.4562312889120154,-5.607747186186597,-0.5574206297967499
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,40.0,2.4,4.85858692765522,-0.23069941323821563,4.931154016010261,-0.2317321667049136,0.1669827288930732,0.5667963651656978,330.00000000000006,40.0,5.089286340893436,-5.4335392221787515,-0.5749522945235311,-5.607747186186597,-0.6765931701763361
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,80.0,4.8,4.605166375231329,-0.48411996566210647,4.677250591265377,-0.4856355914497966,0.33273929352560805,1.1262837319517116,370.0000000000001,80.00000000000006,5.089286340893436,-5.4335392221787515,-0.828372846947422,-5.607747186186597,-0.9304965949212192
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,120.0,7.2,4.338670140575909,-0.750616200317527,4.410897025389684,-0.7519891573254897,0.4960969097161466,1.6714075819890937,409.99999999999994,119.99999999999989,5.089286340893436,-5.4335392221787515,-1.0948690816028432,-5.607747186186597,-1.1968501607969122
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,160.0,9.6,4.068955396181304,-1.020330944712132,4.142004416633564,-1.0208817660816103,0.6559840356586816,2.195607876426715,449.99999999999994,159.9999999999999,5.089286340893436,-5.4335392221787515,-1.3645838259974472,-5.607747186186597,-1.4657427695530327
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,45.0,200.0,12.0,3.8037739886471673,-1.2855123522462684,3.878271026670842,-1.2846151560443322,0.8114699496422306,2.693031188678141,490.0,199.99999999999994,5.089286340893436,-5.4335392221787515,-1.6297652335315842,-5.607747186186597,-1.7294761595157548
